Time,Symbol,Side,Quantity,Price,Value,P&L,Z-Score
2025-05-18 18:47:35,AMD,BUY,367,85.87,31514.29,,-0.8288
2025-05-18 18:47:35,NVDA,SELL,100,621.08,62108.00,0.00,-0.8288
2025-05-18 18:47:35,NVDA,BUY,50,621.08,31054.00,,-0.8288
2025-05-18 18:47:35,AMD,BUY,367,85.88,31517.96,,-0.8288
2025-05-18 18:47:35,NVDA,SELL,50,621.08,31054.00,0.00,-0.8288
2025-05-18 18:47:35,AMD,BUY,367,85.88,31517.96,,-0.8288
2025-05-18 18:47:35,NVDA,BUY,50,621.08,31054.00,,-0.8288
2025-05-18 18:47:35,AMD,BUY,367,85.87,31514.29,,-0.8288
2025-05-18 18:47:35,NVDA,SELL,50,621.08,31054.00,0.00,-0.8288
2025-05-18 18:47:35,NVDA,BUY,50,621.08,31054.00,,-0.8288
2025-05-18 18:47:35,AMD,BUY,367,85.86,31510.62,,-0.8288
2025-05-18 18:47:35,NVDA,SELL,50,621.08,31054.00,0.00,-0.8288
2025-05-18 18:47:35,NVDA,BUY,50,621.08,31054.00,,-0.8288
2025-05-18 18:47:35,NVDA,BUY,50,621.08,31054.00,,-0.8288
2025-05-18 18:47:35,AMD,BUY,367,85.88,31517.96,,-0.8288
2025-05-18 18:47:35,NVDA,SELL,100,621.08,62108.00,0.00,-0.8288
2025-05-18 18:47:35,AMD,BUY,368,85.84,31589.12,,-0.8288
2025-05-18 18:47:35,NVDA,BUY,50,621.08,31054.00,,-0.8288
2025-05-18 18:47:35,NVDA,BUY,50,621.08,31054.00,,-0.8288
2025-05-18 18:47:35,AMD,BUY,368,85.84,31589.12,,-0.8288
2025-05-18 18:47:35,NVDA,SELL,100,621.08,62108.00,0.00,-0.8288
2025-05-18 18:47:35,AMD,BUY,368,85.82,31581.76,,-0.8288
2025-05-18 18:47:35,NVDA,BUY,50,621.08,31054.00,,-0.8288
2025-05-18 18:47:35,AMD,BUY,368,85.71,31541.28,,-0.8288
2025-05-18 18:47:35,NVDA,SELL,50,621.08,31054.00,0.00,-0.8288
2025-05-18 18:47:35,NVDA,BUY,50,621.08,31054.00,,-0.8288
2025-05-18 18:47:35,AMD,BUY,368,85.82,31581.76,,-0.8288
2025-05-18 18:47:35,NVDA,SELL,50,621.08,31054.00,0.00,-0.8288
2025-05-18 18:47:35,NVDA,BUY,50,621.08,31054.00,,-0.8288
2025-05-18 18:47:35,AMD,BUY,368,85.76,31559.68,,-0.8288
2025-05-18 18:47:35,NVDA,SELL,50,621.08,31054.00,0.00,-0.8288
2025-05-18 18:47:35,NVDA,BUY,50,621.08,31054.00,,-0.8288
2025-05-18 18:47:35,AMD,BUY,368,85.66,31522.88,,-0.8288
2025-05-18 18:47:35,NVDA,SELL,50,621.08,31054.00,0.00,-0.8288
2025-05-18 18:47:35,NVDA,BUY,50,621.08,31054.00,,-0.8288
2025-05-18 18:47:35,AMD,BUY,368,85.63,31511.84,,-0.8288
2025-05-18 18:47:35,NVDA,SELL,50,621.08,31054.00,0.00,-0.8288
2025-05-18 18:47:35,NVDA,BUY,50,621.08,31054.00,,-0.8288
2025-05-18 18:47:35,NVDA,BUY,50,621.08,31054.00,,-0.8288
2025-05-18 18:47:35,AMD,BUY,368,85.66,31522.88,,-0.8288
2025-05-18 18:47:35,NVDA,SELL,100,621.08,62108.00,0.00,-0.8288
2025-05-18 18:47:35,AMD,BUY,368,85.64,31515.52,,-0.8288
2025-05-18 18:47:35,NVDA,BUY,50,621.08,31054.00,,-0.8288
2025-05-18 18:47:35,NVDA,BUY,50,621.08,31054.00,,-0.8288
2025-05-18 18:47:35,AMD,BUY,368,85.63,31511.84,,-0.8288
2025-05-18 18:47:35,NVDA,SELL,100,621.08,62108.00,0.00,-0.8288
2025-05-18 18:47:35,AMD,SELL,4815,85.84,413319.60,566.61,-0.8288
2025-05-18 18:47:35,NVDA,BUY,123,621.08,76392.84,,-0.8288
2025-05-18 18:47:35,AMD,BUY,892,85.81,76542.52,,-0.8288
2025-05-18 18:47:35,NVDA,SELL,123,621.08,76392.84,0.00,-0.8288
2025-05-18 18:47:35,AMD,BUY,894,85.65,76571.10,,-0.8288
2025-05-18 18:47:35,AMD,SELL,170,85.85,14594.50,21.56,-0.8288
2025-05-18 18:47:35,NVDA,BUY,720,621.08,447177.60,,-0.8288
2025-05-18 18:47:35,AMD,BUY,5215,85.83,447603.45,,-0.8288
2025-05-18 18:47:35,NVDA,SELL,720,621.08,447177.60,0.00,-0.8288
2025-05-18 18:47:35,AMD,SELL,170,85.92,14606.40,28.84,-0.8288
2025-05-18 18:47:35,NVDA,BUY,716,621.08,444693.28,,-0.8288
2025-05-18 18:47:35,AMD,SELL,170,85.92,14606.40,28.84,-0.8288
2025-05-18 18:47:35,NVDA,BUY,716,621.08,444693.28,,-0.8288
2025-05-18 18:47:35,AMD,BUY,5178,85.89,444738.42,,-0.8288
